Date,Time,ERR,ErrD,TFCK,BFP,RSSI(dB),TRSS(dB),TQly,E2EQ,RxBt(V),MAIN,CLUT,Cels(V),Cel1(V),Cel2(V),AmbT,CanT,A2(V),EngT,BatA(A),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2022-06-07,07:12:17.420,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0,0,0.0,0,0.0,-1,-1,-1024,0,-161,-1024,-438,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.8
2022-06-07,07:12:17.840,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0,0,0.0,0,0.0,-1,-1,-1024,-1,-161,-1024,-438,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.8
2022-06-07,07:12:18.340,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0,0,0.0,0,0.0,-1,-1,-1024,0,-161,-1024,-437,-1024,-1024,0,0,1024,1024,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.8
