Date,Time,ERR,ErrD,TFCK,BFP,RSSI(dB),TRSS(dB),TQly,E2EQ,RxBt(V),MAIN,CLUT,Cels(V),AmbT,CanT,A2(V),EngT,Tst1,Tst2,Tet3,Tet4,Tst5,Tst6,Tst7,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2022-06-05,06:10:11.370,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400E,7.5
2022-06-05,06:10:11.940,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.5
2022-06-05,06:10:12.500,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000400C,7.5
2022-06-05,06:10:13.080,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.5
2022-06-05,06:10:13.580,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.5
2022-06-05,06:10:14.150,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.5
2022-06-05,06:10:14.670,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.5
2022-06-05,06:10:15.240,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.5
2022-06-05,06:10:15.800,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.5
2022-06-05,06:10:16.300,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.5
2022-06-05,06:10:16.800,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000004024,7.5
