Date,Time,ERR,ErrD,TFCK,BFP,RSSI(dB),TRSS(dB),TQly,E2EQ,RxBt(V),MAIN,CLUT,Cels(V),AmbT,CanT,A2(V),EngT,Tst1,Tst2,Tet3,Tet4,Tst5,Tst6,Tst7,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2022-06-05,06:11:21.180,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004016,7.5
2022-06-05,06:11:21.700,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.5
2022-06-05,06:11:22.200,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.5
2022-06-05,06:11:22.710,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.5
2022-06-05,06:11:23.220,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000014,7.5
2022-06-05,06:11:23.730,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.5
2022-06-05,06:11:24.230,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,7.5
2022-06-05,06:11:24.750,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.5
2022-06-05,06:11:25.260,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0x0000000000004014,7.5
2022-06-05,06:11:25.770,0,0,0,0,0,0,0,0,0.0,0,0,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1024,0,1,-1024,-173,0,0,0,0,0,0,-1,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000004024,7.5
